VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Festuca hyperborea;Holmen ex Fred.;polarsvingel;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Festuca/hyperborea;art;Karplanter (Svalbard);Svalbard;> 50 %;EN;B2a(i)b(iii,iv)
Festuca viviparoidea;Krajina ex Pavlick;polargeitsvingel;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Festuca/viviparoidea;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Juncus albescens;(Lange) Fernald;tundrasiv;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Juncus/albescens;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Minuartia rossii;(R.Br. ex Richardson) Graebn.;putearve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Minuartia/rossii;art;Karplanter (Svalbard);Svalbard;> 50 %;VU;"A3(c,e); B2a((i))b(ii,iii,iv,v)"
Papaver cornwallisense;D.Löve;polarvalmue;Plantae/Magnoliophyta/Eudicots/Ranunculales/Papaveraceae/Papaver/cornwallisense;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Papaver dahlianum;Nordh.;svalbardvalmue;Plantae/Magnoliophyta/Eudicots/Ranunculales/Papaveraceae/Papaver/dahlianum;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Pedicularis dasyantha;(Trautv.) Hadac;ullmyrklegg;Plantae/Magnoliophyta/Eudicots/Lamiales/Orobanchaceae/Pedicularis/dasyantha;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Peltigera lyngei;Gyeln.;;Fungi/Ascomycota/Lecanoromycetes/Peltigerales/Peltigeraceae/Peltigera/lyngei;art;Laver (Svalbard);Svalbard;> 50 %;VU;"C1; D1"
Phalaropus fulicarius;(Linnaeus, 1758);polarsvømmesnipe;Animalia/Chordata/Aves/Charadriiformes/Scolopacidae/Phalaropus/fulicarius;art;Fugler (Svalbard);Svalbard;> 50 %;LC;
Phippsia concinna;(Th.Fr.) Lindeb.;sprikesnøgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Phippsia/concinna;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Pleuropogon sabinei;R.Br.;sabinegras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Pleuropogon/sabinei;art;Karplanter (Svalbard);Svalbard;> 50 %;EN;B1a(i)b(iii,v)+2a(i)b(iii,v)
Poa abbreviata;R.Br.;puterapp;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Poa/abbreviata;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Poa colpodea;Th.Fr.;svalbardrapp;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Poa/colpodea;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;"A3(c,e); B2b(ii,iii,iv,v)"
Poa hartzii;Gand.;strirapp;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Poa/hartzii;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Polemonium boreale;Adams;polarflokk;Plantae/Magnoliophyta/Eudicots/Ericales/Polemoniaceae/Polemonium/boreale;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Potentilla hyparctica;Malte;raggmure;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Potentilla/hyparctica;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Potentilla insularis;Soják;svalbardmure;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Potentilla/insularis;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;B2a(i)
Potentilla lyngei;Jurtz. & Soják;lyngemure;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Potentilla/lyngei;art;Karplanter (Svalbard);Svalbard;> 50 %;VU;D1
Potentilla pulchella;R.Br.;tuemure;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Potentilla/pulchella;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Puccinellia angustata;(R.Br.) E.L.Rand & Redfield;grussaltgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Puccinellia/angustata;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Puccinellia svalbardensis;Rønning;svalbardsaltgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Puccinellia/svalbardensis;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Puccinellia vahliana;(Liebm.) Scribn. & Merr.;fimbulsaltgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Puccinellia/vahliana;art;Karplanter (Svalbard);Svalbard;> 50 %;VU;A4(c,e)
Ranunculus arcticus;Richardson;fliksoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Ranunculus/arcticus;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Ranunculus sulphureus;Sol.;polarsoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Ranunculus/sulphureus;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Ranunculus wilanderi;(Nath.) Á.Löve & D.Löve;polarnyresoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Ranunculus/wilanderi;art;Karplanter (Svalbard);Svalbard;> 50 %;CR;B1a(ii)b(iii)+2a(ii)b(iii)
Saxifraga ×svalbardensis;Øvstedal;svalbardsildre;Plantae/Magnoliophyta/Eudicots/Saxifragales/Saxifragaceae/Saxifraga/×svalbardensis;art;Karplanter (Svalbard);Svalbard;> 50 %;NT;A3(c,e)
Saxifraga hyperborea;R.Br.;polarsildre;Plantae/Magnoliophyta/Eudicots/Saxifragales/Saxifragaceae/Saxifraga/hyperborea;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Saxifraga platysepala;(Trautv.) Tolm.;trådsildre;Plantae/Magnoliophyta/Eudicots/Saxifragales/Saxifragaceae/Saxifraga/platysepala;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Silene involucrata;(Cham. & Schltdl.) Bocquet;småjonsokblom;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Silene/involucrata;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Silene uralensis;(Rupr.) Bocquet;;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Silene/uralensis;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Somateria spectabilis;(Linnaeus, 1758);praktærfugl;Animalia/Chordata/Aves/Anseriformes/Anatidae/Somateria/spectabilis;art;Fugler (Svalbard);Svalbard;> 50 %;NT;D1
Stellaria longipes;Goldie;snøstjerneblom;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Stellaria/longipes;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Taraxacum arcticum;(Trautv.) Dahlst.;arktisløvetann;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Taraxacum/arcticum;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Taraxacum brachyceras;Dahlst.;polarløvetann;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Taraxacum/brachyceras;art;Karplanter (Svalbard);Svalbard;> 50 %;LC;
Tuckermanopsis inermis;(Nyl.) Kärnefelt;;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Parmeliaceae/Tuckermanopsis/inermis;art;Laver (Svalbard);Svalbard;> 50 %;CR;"B1a(i)b(ii,iii,v); D1"
Ursus maritimus;Phipps, 1774;isbjørn;Animalia/Chordata/Mammalia/Carnivora/Ursidae/Ursus/maritimus;art;Pattedyr (Svalbard);Svalbard;> 50 %;VU;"A3(c); D1"
Arnica angustifolia;Vahl;smalsolblom;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Arnica/angustifolia;art;Karplanter (Svalbard);Svalbard;25 - 50 %;LC;
Carex fuliginosa;Schkuhr;;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/fuliginosa;art;Karplanter (Svalbard);Svalbard;25 - 50 %;LC;
Cassiope tetragona;(L.) D.Don;kantlyng;Plantae/Magnoliophyta/Eudicots/Ericales/Ericaceae/Cassiope/tetragona;art;Karplanter (Svalbard);Svalbard;25 - 50 %;LC;
Chrysosplenium tetrandrum;(N.Lund ex Malmgren) Th.Fr.;dvergmaigull;Plantae/Magnoliophyta/Eudicots/Saxifragales/Saxifragaceae/Chrysosplenium/tetrandrum;art;Karplanter (Svalbard);Svalbard;25 - 50 %;LC;
Dactylina ramulosa;(Hook.) Tuck.;fingerlav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Parmeliaceae/Dactylina/ramulosa;art;Laver (Svalbard);Svalbard;25 - 50 %;VU;"A3(c)+4(c); C1"
Draba alpina;L.;gullrublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/alpina;art;Karplanter (Svalbard);Svalbard;25 - 50 %;LC;
Draba lactea;Adams;lapprublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/lactea;art;Karplanter (Svalbard);Svalbard;25 - 50 %;LC;
Draba oxycarpa;Sommerf.;bleikrublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/oxycarpa;art;Karplanter (Svalbard);Svalbard;25 - 50 %;LC;
Micranthes hieraciifolia;(Waldst. & Kit. ex Willd.) Haw.;stivsildre;Plantae/Magnoliophyta/Eudicots/Saxifragales/Saxifragaceae/Micranthes/hieraciifolia;art;Karplanter (Svalbard);Svalbard;25 - 50 %;LC;
Odobenus rosmarus;(Linnaeus, 1758);hvalross;Animalia/Chordata/Mammalia/Carnivora/Odobenidae/Odobenus/rosmarus;art;Pattedyr (Svalbard);Svalbard;25 - 50 %;VU;D1
Phippsia algida;(Sol.) R.Br.;snøgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Phippsia/algida;art;Karplanter (Svalbard);Svalbard;25 - 50 %;NT;A3(c,e)
Rangifer tarandus;(Linnaeus, 1758);rein;Animalia/Chordata/Mammalia/Artiodactyla/Cervidae/Rangifer/tarandus;art;Pattedyr (Svalbard);Svalbard;25 - 50 %;LC;
Uria lomvia;(Linnaeus, 1758);polarlomvi;Animalia/Chordata/Aves/Charadriiformes/Alcidae/Uria/lomvia;art;Fugler (Svalbard);Svalbard;25 - 50 %;VU;A2(b)
Alopecurus pratensis alpestris;(Wahlenb.) Selander;finnmarksreverumpe;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Alopecurus/Alopecurus pratensis/alpestris;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;"A3(c,e); B1a((i))b(i,ii,iii,iv,v)+2a((i))b(i,ii,iii,iv,v)"
Antennaria alpina alpina;;;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Antennaria/Antennaria alpina/alpina;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Arnica angustifolia alpina;(L.) I.K.Ferguson;fjellsolblom;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Arnica/Arnica angustifolia/alpina;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A3(c,e); B2b(i,ii,iii,iv,v)"
Cakile maritima islandica;(Gand.) Hyl. ex Elven;ishavsreddik;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Cakile/Cakile maritima/islandica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Carex bigelowii bigelowii;;skaftstivstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/Carex bigelowii/bigelowii;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Carex fuliginosa misandra;(R.Br.) Nyman;dubbestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/Carex fuliginosa/misandra;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;"A3(c); B2a(ii)b(ii,iii,iv,v)"
Cerastium alpinum glabratum;(Hartm.) Á.Löve & D.Löve;snauarve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Cerastium/Cerastium alpinum/glabratum;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Cochlearia officinalis integrifolia;(Hartm.) Nordal & Stabb.;kildeskjørbuksurt;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Cochlearia/Cochlearia officinalis/integrifolia;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Cochlearia officinalis norvegica;Nordal & Stabb.;fjordskjørbuksurt;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Cochlearia/Cochlearia officinalis/norvegica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Draba cacuminum angusticarpa;Elven & Aarhus;nordlig tinderublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/Draba cacuminum/angusticarpa;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;"B1a(i)b(ii,iii,iv,v)+2a(i)b(ii,iii,iv,v); C2a(i)"
Draba cacuminum cacuminum;;sørlig tinderublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/Draba cacuminum/cacuminum;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(i,ii,iii,iv,v)c(iv)
Draba hirta dovrensis;(Fr.) Blytt ex Fr.;dovrerublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/Draba hirta/dovrensis;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Dryopteris expansa willeana;(Lid) Elven;bruntelg;Plantae/Pteridophyta/Polypodiopsida/Polypodiales/Dryopteridaceae/Dryopteris/Dryopteris expansa/willeana;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;B2b(iii)
Erigeron acris droebachiensis;(O.F.Müll.) Arcang.;drøbakbakkestjerne;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Erigeron/Erigeron acris/droebachiensis;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A4(a,c); B2b(i,ii,iii,iv,v)"
Eurybia sibirica subintegerrima;(Trautv.) Greuter;;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Eurybia/Eurybia sibirica/subintegerrima;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;RE;
Juncus gerardii atrofuscus;(Rupr.) Printz;nordlig saltsiv;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Juncus/Juncus gerardii/atrofuscus;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Lathyrus palustris pilosus;(Cham.) Hultén;håret myrflatbelg;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Lathyrus/Lathyrus palustris/pilosus;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A4(c); B1b(ii,iii,iv,v)+2b(ii,iii,iv,v)"
Oxytropis deflexa norvegica;Nordh.;masimjelt;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Oxytropis/Oxytropis deflexa/norvegica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;CR;B1a(i)c(iv)+2a(i)c(iv)
Papaver radicatum laestadianum;Nordh.;læstadiusvalmue;Plantae/Magnoliophyta/Eudicots/Ranunculales/Papaveraceae/Papaver/Papaver radicatum/laestadianum;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B1a(i)b(iii,iv,v)+2a(i)b(iii,iv,v)
Plantago maritima subpolaris;(Andrejev) Tzvelev;ishavskjempe;Plantae/Magnoliophyta/Eudicots/Lamiales/Plantaginaceae/Plantago/Plantago maritima/subpolaris;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Primula nutans finmarchia;(Jacq.) Á.Löve & D.Löve;finnmarksnøkleblom;Plantae/Magnoliophyta/Eudicots/Ericales/Primulaceae/Primula/Primula nutans/finmarchia;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(ii,iii,iv,v)
Primula stricta obesior;Norman;normansnøkleblom;Plantae/Magnoliophyta/Eudicots/Ericales/Primulaceae/Primula/Primula stricta/obesior;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(i,ii,iv,v)
Primula stricta stricta;;vanlig smalnøkleblom;Plantae/Magnoliophyta/Eudicots/Ericales/Primulaceae/Primula/Primula stricta/stricta;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Puccinellia phryganodes sibirica;(Hadac & Á.Löve) Elven;russeteppesaltgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Puccinellia/Puccinellia phryganodes/sibirica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A3(c,e); B2b(i,ii,iii,iv,v)"
Rumex aquaticus protractus;(Rech.f.) Rech.f.;varangerhøymol;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Polygonaceae/Rumex/Rumex aquaticus/protractus;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;B1a(ii)b(v)+2a(ii)b(v)
Salix daphnoides norvegica;Agardh;skandinavisk doggpil;Plantae/Magnoliophyta/Eudicots/Malpighiales/Salicaceae/Salix/Salix daphnoides/norvegica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A2(a,c)+3(c)
Salix lanata glandulifera;(Flod.) Hiitonen;kjertelvier;Plantae/Magnoliophyta/Eudicots/Malpighiales/Salicaceae/Salix/Salix lanata/glandulifera;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;B2b(ii,iii,iv)
Thymus serpyllum tanaënsis;(Hyl.) Jalas;tanatimian;Plantae/Magnoliophyta/Eudicots/Lamiales/Lamiaceae/Thymus/Thymus serpyllum/tanaënsis;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A2(c); B1b(iii)+2b(iii)"
Tripleurospermum maritimum phaeocephalum;(Rupr.) Hämet-Ahti;finnmarksbalderbrå;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Tripleurospermum/Tripleurospermum maritimum/phaeocephalum;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Viola rupestris relicta;Jalas;kalkfiol;Plantae/Magnoliophyta/Eudicots/Malpighiales/Violaceae/Viola/Viola rupestris/relicta;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A4(c,e); B2b(ii,iii,v)"
Allium schoenoprasum boreale;Elven ined.;sibirgrasløk;Plantae/Magnoliophyta/Monocots/Asparagales/Amaryllidaceae/Allium/Allium schoenoprasum/boreale;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Alnus incana kolaënsis;(N.I.Orlova) Á.Löve & D.Löve;kolagråor;Plantae/Magnoliophyta/Eudicots/Fagales/Betulaceae/Alnus/Alnus incana/kolaënsis;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Anthyllis vulneraria lapponica;(Hyl.) Jalas;fjellrundbelg;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Anthyllis/Anthyllis vulneraria/lapponica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Astragalus alpinus alpinus;;fjellmjelt;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Astragalus/Astragalus alpinus/alpinus;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Astragalus alpinus arcticus;(Sondèn) Lindm.;lappmjelt;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Astragalus/Astragalus alpinus/arcticus;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Betula nana nana;;dvergbjørk;Plantae/Magnoliophyta/Eudicots/Fagales/Betulaceae/Betula/Betula nana/nana;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Betula pubescens czerepanovii;(N.I.Orlova) Hämet-Ahti;fjellbjørk;Plantae/Magnoliophyta/Eudicots/Fagales/Betulaceae/Betula/Betula pubescens/czerepanovii;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Cakile maritima integrifolia;(Hornem.) Hyl. ex Greuter & Burdet;nordsjøreddik;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Cakile/Cakile maritima/integrifolia;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Calamagrostis neglecta groenlandica;(Schrank) Matuszk.;polarrørkvein;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Calamagrostis/Calamagrostis neglecta/groenlandica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Caltha palustris radicans;(T.F.Forst.) Syme;fjellbekkeblom;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Caltha/Caltha palustris/radicans;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Campanula rotundifolia gieseckiana;(Vest ex Schult.) Witasek;polarblåklokke;Plantae/Magnoliophyta/Eudicots/Asterales/Campanulaceae/Campanula/Campanula rotundifolia/gieseckiana;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Campanula rotundifolia groenlandica;(Berlin) Á. & D.Löve;fjellblåklokke;Plantae/Magnoliophyta/Eudicots/Asterales/Campanulaceae/Campanula/Campanula rotundifolia/groenlandica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex bigelowii dacica;(Heuff.) T.V.Egorova;rabbestivstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/Carex bigelowii/dacica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex capillaris fuscidula;(V.I.Krecz. ex T.V.Egorova) Á. & D.Löve;polarhårstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/Carex capillaris/fuscidula;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex nardina nardina;;vindskjeggstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/Carex nardina/nardina;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;"A3(c); B2b(iii)"
Carex saxatilis saxatilis;;myrblankstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/Carex saxatilis/saxatilis;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex vaginata algida;(Turcz. ex V.I.Krecz.) Elven ined.;fjellslirestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/Carex vaginata/algida;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Deschampsia cespitosa glauca;(Hartm.) Hartm.;elvebunke;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Deschampsia/Deschampsia cespitosa/glauca;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;"A4(c,e); B2b(ii,iii,iv)"
Diphasiastrum complanatum montellii;(Kukkonen) Kukkonen;finnjamne;Plantae/Pteridophyta/Lycopsida/Lycopodiales/Lycopodiaceae/Diphasiastrum/Diphasiastrum complanatum/montellii;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Draba hirta hirta;;skredrublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/Draba hirta/hirta;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Elymus alaskanus borealis;(Turcz.) Á. & D.Löve;fjellkveke;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Elymus/Elymus alaskanus/borealis;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Elymus caninus muticus;(Holmb.) Karlsson;småhundekveke;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Elymus/Elymus caninus/muticus;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;B2b(ii,iii,iv,v)
Equisetum arvense alpestre;(Wahlenb.) Schönsw. & Elven;polarsnelle;Plantae/Pteridophyta/Sphenopsida/Equisetales/Equisetaceae/Equisetum/Equisetum arvense/alpestre;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Erigeron acris politus;(Fr.) H.Lindb.;blankbakkestjerne;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Erigeron/Erigeron acris/politus;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Eriophorum scheuchzeri scheuchzeri;;fjellsnøull;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Eriophorum/Eriophorum scheuchzeri/scheuchzeri;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Euphrasia wettsteinii palustris;(Jørg.);myrøyentrøst;Plantae/Magnoliophyta/Eudicots/Lamiales/Orobanchaceae/Euphrasia/Euphrasia wettsteinii/palustris;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Euphrasia wettsteinii wettsteinii;;fjelløyentrøst;Plantae/Magnoliophyta/Eudicots/Lamiales/Orobanchaceae/Euphrasia/Euphrasia wettsteinii/wettsteinii;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Hierochloë odorata arctica;(C.Presl) Tzvelev;myrmarigras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Hierochloë/Hierochloë odorata/arctica;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Juncus alpinoarticulatus alpestris;(Hartm.) Hämet-Ahti;lappskogsiv;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Juncus/Juncus alpinoarticulatus/alpestris;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Lotus corniculatus borealis;Hyl.;fjelltiriltunge;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Lotus/Lotus corniculatus/borealis;underart/varietet;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
